Q8,Q9,Q9calc,Q10
7,Yes,Unspecified,3
5,No,None,4
3,No,None,8
8,Yes,Calc 3,3
5,No,None,8
6,Yes,Unspecified,1
10,Yes,Calc 3,1
7,Yes,HS Calc,4
8,Yes,Calc 1,4
8,Yes,Unspecified,6
8,Yes,Calc 1,4
8,No,None,10
7,Yes ,None,6
7,Yes ,None,6
4,Yes,HS Calc,6
8,Yes ,None,7
6,No,None,7
9,Yes,Calc 2,3
7,No,None,3
5,No,None,5
6,No,None,5
9,Yes,HS Calc,3
4,No,None,9
4,No,None,5
8,No,None,5
3,No,None,9
3,No,None,9
7,Yes,Calc 1,6
7,No,None,3
7,No,None,8
2,No,None,10
6,Yes,Unspecified,9
